# 1.16.2 VA	1.17 VA	entry evidence	prologue
# Generated by scripts/audit-1170-hook-targets.py --promote.
#
# Rows from the signature and code-reference maps that ALSO pass the detour checks:
# the 1.17 destination is a real function ENTRY -- by the image's own forward references,
# by .pdata declaring a function start there, or by .pdata declaring no function that
# CONTAINS it (an unwindless leaf) -- and its first five bytes relocate. Those two facts
# are what a MinHook detour needs and what a signature match does not supply.
#
# THIS FILE IS NOT WIRED INTO THE BUILD, and must not be. er-game-base/build.rs reads it
# as AUDITED_DETOURS and then writes `let _ = AUDITED_DETOURS;`, because entry-and-prologue
# is not SEMANTIC identity: HUD_WEAPON_SLOT_UPDATE (0x8d2110) passes every check here and
# is paired with a 1.17 function sharing 18% of its instruction shape. Feeding these rows
# to the detour table put the 2026-08-29 crash straight back. The detour licence comes from
# the byte comparison in rva-map-1162-to-1170.needed-verified.tsv; this is a reading aid
# for the rows that remain refused.
#
# It also audits addresses carried from rva-map-1162-to-1170.data.tsv, which are GLOBALS.
# A detour verdict on a global is meaningless -- nothing hooks a datum -- so read a row
# here as `the entry/prologue checks say this much`, never as `this may carry a hook`.
#
# This exists because allowing un-audited rows to carry detours cost a boot: on
# 2026-08-29 er-armament-icons installed five of them and the game died at the first
# overlay draw, having lived when the same hooks were refused as unmapped.
0x1400abc20	0x1400abc20	0 call, 0 jmp, 1 ptr	11B relocatable
0x140116c70	0x140116c70	486 call, 3 jmp, 0 ptr	5B relocatable
0x140117910	0x140117910	649 call, 0 jmp, 0 ptr	5B relocatable
0x14011a360	0x14011a360	99 call, 0 jmp, 0 ptr	5B relocatable
0x1401efc00	0x1401efc00	2 call, 0 jmp, 0 ptr	6B relocatable
0x1401f2b20	0x1401f2b20	5 call, 0 jmp, 0 ptr	5B relocatable
0x14021bbf0	0x14021bbf0	0 call, 0 jmp, 1 ptr	5B relocatable
0x140225f60	0x140225f60	2 call, 0 jmp, 0 ptr	7B relocatable
0x14023d990	0x14023d990	4 call, 0 jmp, 0 ptr	6B relocatable
0x14023dd80	0x14023dd80	1 call, 0 jmp, 0 ptr	6B relocatable
0x140240e70	0x140240e70	3 call, 0 jmp, 0 ptr	5B relocatable
0x140241130	0x140241130	2 call, 0 jmp, 0 ptr	5B relocatable
0x1402413f0	0x1402413f0	47 call, 0 jmp, 0 ptr	7B relocatable
0x140245c00	0x140245c00	5 call, 3 jmp, 0 ptr	5B relocatable
0x140246480	0x140246480	33 call, 0 jmp, 0 ptr	6B relocatable
0x140246840	0x140246840	7 call, 0 jmp, 0 ptr	6B relocatable
0x1402470e0	0x1402470e0	19 call, 0 jmp, 0 ptr	6B relocatable
0x140247900	0x140247900	3 call, 0 jmp, 0 ptr	6B relocatable
0x140247b30	0x140247b30	5 call, 0 jmp, 0 ptr	7B relocatable
0x140247ee0	0x140247ee0	25 call, 0 jmp, 0 ptr	6B relocatable
0x140248440	0x140248440	4 call, 1 jmp, 0 ptr	5B relocatable
0x140249160	0x140249160	41 call, 0 jmp, 0 ptr	5B relocatable
0x140249a90	0x140249a90	11 call, 1 jmp, 0 ptr	5B relocatable
0x14024a1a0	0x14024a1a0	5 call, 0 jmp, 0 ptr	5B relocatable
0x14024c1b0	0x14024c1b0	12 call, 0 jmp, 0 ptr	5B relocatable
0x14024c460	0x14024c460	8 call, 0 jmp, 0 ptr	6B relocatable
0x14024c560	0x14024c560	34 call, 1 jmp, 0 ptr	6B relocatable
0x14024c630	0x14024c630	3 call, 2 jmp, 0 ptr	5B relocatable
0x14024c7b0	0x14024c7b0	8 call, 0 jmp, 0 ptr	6B relocatable
0x14024db90	0x14024db90	4 call, 0 jmp, 0 ptr	5B relocatable
0x14024dff0	0x14024dff0	1 call, 1 jmp, 0 ptr	5B relocatable
0x14024e3d0	0x14024e3d0	3 call, 0 jmp, 0 ptr	5B relocatable
0x140250490	0x140250490	3 call, 0 jmp, 0 ptr	5B relocatable
